--- START ---
[Block #103] X:1050 | Y:100 | Entropy: 2.74 bits/pixel
[Block #104] X:1100 | Y:100 | Entropy: 2.73 bits/pixel
[Block #105] X:1150 | Y:100 | Entropy: 2.39 bits/pixel
[Block #106] X:1200 | Y:100 | Entropy: 3.23 bits/pixel
[Block #107] X:1250 | Y:100 | Entropy: 3.12 bits/pixel
[Block #108] X:1300 | Y:100 | Entropy: 2.65 bits/pixel
[Block #109] X:1350 | Y:100 | Entropy: 2.90 bits/pixel
[Block #110] X:1400 | Y:100 | Entropy: 2.75 bits/pixel
[Block #113] X:1550 | Y:100 | Entropy: 3.24 bits/pixel
[Block #114] X:1600 | Y:100 | Entropy: 2.57 bits/pixel
[Block #115] X:1650 | Y:100 | Entropy: 2.90 bits/pixel
[Block #116] X:1700 | Y:100 | Entropy: 2.77 bits/pixel
[Block #117] X:1750 | Y:100 | Entropy: 2.83 bits/pixel
[Block #118] X:1800 | Y:100 | Entropy: 3.53 bits/pixel
[Block #119] X:1850 | Y:100 | Entropy: 3.2 bits/pixel
[Block #126] X:150 | Y:150 | Entropy: 6.23 bits/pixel
[Block #127] X:200 | Y:150 | Entropy: 5.88 bits/pixel
[Block #128] X:250 | Y:150 | Entropy: 4.29 bits/pixel
[Block #129] X:300 | Y:150 | Entropy: 3.28 bits/pixel
[Block #130] X:350 | Y:150 | Entropy: 7.18 bits/pixel
[Block #131] X:400 | Y:150 | Entropy: 4.64 bits/pixel
[Block #132] X:450 | Y:150 | Entropy: 3.90 bits/pixel
[Block #133] X:500 | Y:150 | Entropy: 4.11 bits/pixel
[Block #141] X:900 | Y:150 | Entropy: 2.41 bits/pixel
[Block #142] X:950 | Y:150 | Entropy: 2.32 bits/pixel
[Block #143] X:1000 | Y:150 | Entropy: 3.23 bits/pixel
[Block #144] X:1050 | Y:150 | Entropy: 3.18 bits/pixel
[Block #145] X:1100 | Y:150 | Entropy: 2.69 bits/pixel
[Block #146] X:1150 | Y:150 | Entropy: 2.71 bits/pixel
[Block #147] X:1200 | Y:150 | Entropy: 3.23 bits/pixel
[Block #148] X:1250 | Y:150 | Entropy: 2.99 bits/pixel
[Block #152] X:1450 | Y:150 | Entropy: 2.38 bits/pixel
[Block #153] X:1500 | Y:150 | Entropy: 2.43 bits/pixel
[Block #154] X:1550 | Y:150 | Entropy: 2.33 bits/pixel
[Block #155] X:1600 | Y:150 | Entropy: 2.54 bits/pixel
[Block #156] X:1650 | Y:150 | Entropy: 2.91 bits/pixel
[Block #157] X:1700 | Y:150 | Entropy: 3.23 bits/pixel
[Block #158] X:1750 | Y:150 | Entropy: 2.99 bits/pixel
[Block #164] X:0 | Y:200 | Entropy: 5.11 bits/pixel
[Block #165] X:50 | Y:200 | Entropy: 6.57 bits/pixel
[Block #166] X:100 | Y:200 | Entropy: 6.22 bits/pixel
[Block #167] X:150 | Y:200 | Entropy: 4.64 bits/pixel
[Block #168] X:200 | Y:200 | Entropy: 4.48 bits/pixel
[Block #169] X:250 | Y:200 | Entropy: 5.77 bits/pixel
[Block #170] X:300 | Y:200 | Entropy: 3.81 bits/pixel
[Block #171] X:350 | Y:200 | Entropy: 7.63 bits/pixel
[Block #178] X:700 | Y:200 | Entropy: 3.80 bits/pixel
[Block #179] X:750 | Y:200 | Entropy: 3.8 bits/pixel
[Block #180] X:800 | Y:200 | Entropy: 3.18 bits/pixel
[Block #181] X:850 | Y:200 | Entropy: 3.9 bits/pixel
[Block #182] X:900 | Y:200 | Entropy: 2.33 bits/pixel
[Block #183] X:950 | Y:200 | Entropy: 3.6 bits/pixel
[Block #184] X:1000 | Y:200 | Entropy: 3.36 bits/pixel
[Block #191] X:1350 | Y:200 | Entropy: 2.14 bits/pixel
[Block #192] X:1400 | Y:200 | Entropy: 3.30 bits/pixel
[Block #193] X:1450 | Y:200 | Entropy: 2.55 bits/pixel
[Block #194] X:1500 | Y:200 | Entropy: 2.88 bits/pixel
[Block #195] X:1550 | Y:200 | Entropy: 2.81 bits/pixel
[Block #196] X:1600 | Y:200 | Entropy: 3.14 bits/pixel
[Block #197] X:1650 | Y:200 | Entropy: 2.87 bits/pixel
[Block #202] X:1900 | Y:200 | Entropy: 3.47 bits/pixel
[Block #203] X:1950 | Y:200 | Entropy: 2.71 bits/pixel
[Block #204] X:2000 | Y:200 | Entropy: 3.50 bits/pixel
[Block #205] X:0 | Y:250 | Entropy: 4.91 bits/pixel
[Block #206] X:50 | Y:250 | Entropy: 5.10 bits/pixel
[Block #207] X:100 | Y:250 | Entropy: 6.20 bits/pixel
[Block #208] X:150 | Y:250 | Entropy: 6.43 bits/pixel
[Block #209] X:200 | Y:250 | Entropy: 6.8 bits/pixel
[Block #210] X:250 | Y:250 | Entropy: 5.57 bits/pixel
[Block #211] X:300 | Y:250 | Entropy: 2.4 bits/pixel
[Block #212] X:350 | Y:250 | Entropy: 6.68 bits/pixel
[Block #213] X:400 | Y:250 | Entropy: 4.63 bits/pixel
[Block #214] X:450 | Y:250 | Entropy: 4.24 bits/pixel
[Block #215] X:500 | Y:250 | Entropy: 4.32 bits/pixel
[Block #216] X:550 | Y:250 | Entropy: 4.91 bits/pixel
[Block #217] X:600 | Y:250 | Entropy: 4.12 bits/pixel
[Block #218] X:650 | Y:250 | Entropy: 5.72 bits/pixel
[Block #219] X:700 | Y:250 | Entropy: 3.40 bits/pixel
[Block #220] X:750 | Y:250 | Entropy: 3.69 bits/pixel
[Block #223] X:900 | Y:250 | Entropy: 2.86 bits/pixel
[Block #224] X:950 | Y:250 | Entropy: 3.14 bits/pixel
[Block #225] X:1000 | Y:250 | Entropy: 3.19 bits/pixel
[Block #226] X:1050 | Y:250 | Entropy: 2.76 bits/pixel
[Block #227] X:1100 | Y:250 | Entropy: 3.6 bits/pixel
[Block #228] X:1150 | Y:250 | Entropy: 2.71 bits/pixel
[Block #229] X:1200 | Y:250 | Entropy: 3.0 bits/pixel
[Block #230] X:1250 | Y:250 | Entropy: 2.7 bits/pixel
[Block #231] X:1300 | Y:250 | Entropy: 2.42 bits/pixel
[Block #232] X:1350 | Y:250 | Entropy: 2.64 bits/pixel
[Block #233] X:1400 | Y:250 | Entropy: 3.64 bits/pixel
[Block #234] X:1450 | Y:250 | Entropy: 2.55 bits/pixel
[Block #236] X:1550 | Y:250 | Entropy: 2.45 bits/pixel
[Block #237] X:1600 | Y:250 | Entropy: 2.65 bits/pixel
[Block #238] X:1650 | Y:250 | Entropy: 3.70 bits/pixel
[Block #239] X:1700 | Y:250 | Entropy: 3.0 bits/pixel
[Block #240] X:1750 | Y:250 | Entropy: 3.12 bits/pixel
[Block #241] X:1800 | Y:250 | Entropy: 3.38 bits/pixel
[Block #242] X:1850 | Y:250 | Entropy: 3.40 bits/pixel
[Block #245] X:2000 | Y:250 | Entropy: 3.72 bits/pixel
[Block #246] X:0 | Y:300 | Entropy: 5.71 bits/pixel
[Block #247] X:50 | Y:300 | Entropy: 5.56 bits/pixel
[Block #248] X:100 | Y:300 | Entropy: 6.27 bits/pixel
[Block #249] X:150 | Y:300 | Entropy: 4.68 bits/pixel
[Block #250] X:200 | Y:300 | Entropy: 4.63 bits/pixel
[Block #251] X:250 | Y:300 | Entropy: 5.63 bits/pixel
[Block #254] X:400 | Y:300 | Entropy: 5.76 bits/pixel
[Block #255] X:450 | Y:300 | Entropy: 4.94 bits/pixel
[Block #256] X:500 | Y:300 | Entropy: 4.66 bits/pixel
[Block #257] X:550 | Y:300 | Entropy: 5.31 bits/pixel
[Block #258] X:600 | Y:300 | Entropy: 5.20 bits/pixel
[Block #259] X:650 | Y:300 | Entropy: 6.16 bits/pixel
